p,a,b,j,trace,order,aut_order,fb_m2,fb_m3,n_targets,hits_m2,hits_m3,order,full_liftable,liftable_density_W125,liftable_density_W250,liftable_density_W500,liftable_density_W1000,liftable_density_W2000,liftable_density_W4001,two_torsion_x,sumset_m2,sumset_m3,sumset_eff_m2,sumset_eff_m3,decomp_rate_m2,decomp_rate_m3,decomp_efficiency_m2,decomp_efficiency_m3,s3_support,liftable_identity_holds
4001,3263,3509,53,26,3976,2,40,13,400,220,200,3976,1988,0.528,0.508,0.542,0.512,0.511,0.49687578105473634,1,2190,2078,0.6759259259259259,0.6343101343101343,0.55,0.5,0.6749382716049384,0.6068376068376068,13,True
4001,3065,2129,274,26,3976,2,40,13,400,230,214,3976,1988,0.568,0.576,0.576,0.528,0.507,0.49687578105473634,1,2281,2022,0.7040123456790124,0.6172161172161172,0.575,0.535,0.7056172839506172,0.6493162393162394,13,True
4001,2952,1903,286,26,3976,2,40,13,400,220,228,3976,1988,0.488,0.488,0.48,0.487,0.4955,0.49687578105473634,1,2159,2237,0.6663580246913581,0.6828449328449329,0.55,0.57,0.6749382716049384,0.6917948717948718,13,True
4001,143,286,418,26,3976,2,40,13,400,219,215,3976,1988,0.408,0.476,0.492,0.51,0.4935,0.49687578105473634,1,2198,2083,0.678395061728395,0.6358363858363858,0.5475,0.5375,0.6718703703703705,0.6523504273504274,13,True
4001,3983,3965,545,26,3976,2,40,13,400,237,220,3976,1989,0.488,0.492,0.494,0.505,0.504,0.4971257185703574,3,2219,2116,0.6848765432098766,0.645909645909646,0.5925,0.55,0.7270925925925926,0.6675213675213676,13,True
4001,2699,1397,569,26,3976,2,40,13,400,238,219,3976,1989,0.472,0.52,0.498,0.509,0.497,0.4971257185703574,3,2289,1995,0.7064814814814815,0.6089743589743589,0.595,0.5475,0.7301604938271604,0.6644871794871795,13,True
4001,3958,3915,643,26,3976,2,40,13,400,223,230,3976,1989,0.544,0.504,0.504,0.496,0.4975,0.4971257185703574,3,2225,2253,0.6867283950617284,0.6877289377289377,0.5575,0.575,0.684141975308642,0.6978632478632478,13,True
4001,1734,3468,720,26,3976,2,40,13,400,260,230,3976,1989,0.488,0.468,0.47,0.478,0.495,0.4971257185703574,3,2288,2184,0.7061728395061728,0.6666666666666666,0.65,0.575,0.7976543209876543,0.6978632478632478,13,True
4001,958,1916,852,26,3976,2,40,13,400,221,216,3976,1989,0.528,0.52,0.504,0.522,0.5015,0.4971257185703574,3,2166,2226,0.6685185185185185,0.6794871794871795,0.5525,0.54,0.6780061728395061,0.6553846153846153,13,True
4001,2378,755,945,26,3976,2,40,13,400,217,204,3976,1988,0.512,0.52,0.506,0.501,0.5075,0.49687578105473634,1,2237,1967,0.6904320987654321,0.6004273504273504,0.5425,0.51,0.6657345679012345,0.6189743589743589,13,True
4001,212,1475,1127,26,3976,2,40,13,400,229,242,3976,1988,0.48,0.496,0.476,0.481,0.5025,0.49687578105473634,1,2232,2222,0.6888888888888889,0.6782661782661783,0.5725,0.605,0.7025493827160495,0.7342735042735042,13,True
4001,1960,3920,1183,26,3976,2,40,13,400,212,210,3976,1988,0.536,0.504,0.492,0.479,0.4875,0.49687578105473634,1,2256,2121,0.6962962962962963,0.6474358974358975,0.53,0.525,0.6503950617283951,0.6371794871794872,13,True
4001,3888,3775,1247,26,3976,2,40,13,400,222,207,3976,1988,0.552,0.512,0.52,0.508,0.496,0.49687578105473634,1,2223,2138,0.6861111111111111,0.6526251526251526,0.555,0.5175,0.6810740740740742,0.6280769230769231,13,True
4001,3219,2146,1257,26,3976,2,40,13,400,221,207,3976,1988,0.496,0.516,0.5,0.484,0.494,0.49687578105473634,1,2271,1954,0.700925925925926,0.5964590964590964,0.5525,0.5175,0.6780061728395061,0.6280769230769231,13,True
4001,1164,776,1343,26,3976,2,40,13,400,244,199,3976,1988,0.496,0.48,0.484,0.498,0.4935,0.49687578105473634,1,2280,2109,0.7037037037037037,0.6437728937728938,0.61,0.4975,0.748567901234568,0.6038034188034188,13,True
4001,3195,2389,1490,26,3976,2,40,13,400,236,222,3976,1988,0.528,0.496,0.502,0.514,0.5005,0.49687578105473634,1,2256,2178,0.6962962962962963,0.6648351648351648,0.59,0.555,0.7240246913580246,0.6735897435897437,13,True
4001,1236,824,1501,26,3976,2,40,13,400,199,205,3976,1988,0.608,0.576,0.536,0.513,0.502,0.49687578105473634,1,2220,2169,0.6851851851851852,0.6620879120879121,0.4975,0.5125,0.6105123456790124,0.6220085470085469,13,True
4001,689,1793,1628,26,3976,2,40,13,400,239,218,3976,1989,0.48,0.508,0.492,0.482,0.488,0.4971257185703574,3,2279,2022,0.703395061728395,0.6172161172161172,0.5975,0.545,0.7332283950617285,0.6614529914529915,13,True
4001,691,3128,1709,26,3976,2,40,13,400,229,215,3976,1989,0.456,0.444,0.45,0.501,0.5075,0.4971257185703574,3,2262,2110,0.6981481481481482,0.6440781440781441,0.5725,0.5375,0.7025493827160495,0.6523504273504274,13,True
4001,1314,876,1879,26,3976,2,40,13,400,237,225,3976,1988,0.512,0.492,0.484,0.492,0.49,0.49687578105473634,1,2189,2202,0.6756172839506173,0.6721611721611722,0.5925,0.5625,0.7270925925925926,0.6826923076923077,13,True
4001,2682,1788,1963,26,3976,2,40,13,400,211,214,3976,1989,0.456,0.492,0.498,0.52,0.506,0.4971257185703574,3,2216,1992,0.6839506172839506,0.608058608058608,0.5275,0.535,0.6473271604938271,0.6493162393162394,13,True
4001,1113,2226,2024,26,3976,2,40,13,400,235,204,3976,1988,0.544,0.516,0.508,0.508,0.4925,0.49687578105473634,1,2218,2095,0.6845679012345679,0.6394993894993894,0.5875,0.51,0.7209567901234568,0.6189743589743589,13,True
4001,2010,19,2094,26,3976,2,40,13,400,223,218,3976,1988,0.464,0.448,0.464,0.471,0.4875,0.49687578105473634,1,2187,2196,0.675,0.6703296703296703,0.5575,0.545,0.684141975308642,0.6614529914529915,13,True
4001,1296,2592,2101,26,3976,2,40,13,400,239,217,3976,1988,0.52,0.528,0.518,0.518,0.5165,0.49687578105473634,1,2312,2114,0.7135802469135802,0.6452991452991453,0.5975,0.5425,0.7332283950617285,0.6584188034188034,13,True
4001,3880,1253,2111,26,3976,2,40,13,400,207,215,3976,1989,0.464,0.488,0.524,0.513,0.4955,0.4971257185703574,3,2205,2218,0.6805555555555556,0.6770451770451771,0.5175,0.5375,0.6350555555555555,0.6523504273504274,13,True
4001,3329,3553,2274,26,3976,2,40,13,400,224,223,3976,1988,0.456,0.464,0.47,0.481,0.508,0.49687578105473634,1,2256,2214,0.6962962962962963,0.6758241758241759,0.56,0.5575,0.68720987654321,0.6766239316239316,13,True
4001,2853,1902,2365,26,3976,2,40,13,400,219,231,3976,1989,0.432,0.464,0.47,0.471,0.492,0.4971257185703574,3,2261,2187,0.6978395061728395,0.6675824175824175,0.5475,0.5775,0.6718703703703705,0.7008974358974358,13,True
4001,3060,2040,2416,26,3976,2,40,13,400,236,224,3976,1988,0.512,0.456,0.486,0.504,0.5,0.49687578105473634,1,2239,2274,0.6910493827160494,0.6941391941391941,0.59,0.56,0.7240246913580246,0.6796581196581197,13,True
4001,3769,3537,2424,26,3976,2,40,13,400,230,224,3976,1988,0.528,0.52,0.504,0.516,0.497,0.49687578105473634,1,2270,2220,0.7006172839506173,0.6776556776556777,0.575,0.56,0.7056172839506172,0.6796581196581197,13,True
4001,2661,1321,2568,26,3976,2,40,13,400,226,195,3976,1988,0.584,0.532,0.524,0.51,0.4985,0.49687578105473634,1,2200,1946,0.6790123456790124,0.594017094017094,0.565,0.4875,0.6933456790123456,0.5916666666666667,13,True
4001,3086,3391,2576,26,3976,2,40,13,400,239,216,3976,1988,0.48,0.476,0.482,0.505,0.499,0.49687578105473634,1,2226,2064,0.687037037037037,0.63003663003663,0.5975,0.54,0.7332283950617285,0.6553846153846153,13,True
4001,2026,17,2599,26,3976,2,40,13,400,222,225,3976,1988,0.488,0.524,0.494,0.512,0.4985,0.49687578105473634,1,2258,2081,0.6969135802469136,0.6352258852258852,0.555,0.5625,0.6810740740740742,0.6826923076923077,13,True
4001,210,140,2718,26,3976,2,40,13,400,228,229,3976,1988,0.496,0.52,0.514,0.486,0.4895,0.49687578105473634,1,2267,2187,0.6996913580246914,0.6675824175824175,0.57,0.5725,0.6994814814814814,0.6948290598290598,13,True
